Date,S2,Date,S1
1,25.77797680824731,2012-07-04 20:48:00.000000000,77.55665510655533
2,17.97556656461085,2012-07-22 11:54:54.339622656,54.12956951923456
3,19.331184939419355,2012-11-26 08:00:00.000000256,58.249615175916574
4,11.614468524144446,2012-07-21 12:00:00.000000256,34.340093984659354
5,16.770270702817204,2013-08-09 01:36:00.000000256,50.43155120521683
6,26.440226473333333,2013-04-27 17:36:00.000000000,79.89498949026063
7,33.06943003524731,2012-03-15 21:36:00.000000000,99.52516882915778
8,42.70398311547312,2013-05-10 12:00:00.000000000,126.07766364399168
9,58.065118441188886,2013-11-27 11:12:00.000000000,170.05286110869525
10,58.12976391816129,2013-10-03 15:59:59.999999744,168.7274101631192
11,38.2446269254,2014-03-04 22:24:00.000000000,116.12074687455082
12,22.079375362699356,2013-07-22 18:24:00.000000000,66.86633680522327
